2025-12-18 16:35:33 | INFO     | browser_controller:__init__:34 - ✓ ChromeDriver detectado: /Users/omarmaldonado/Desktop/proxys/proyectofinal/agent/chromedriver
2025-12-18 16:35:33 | DEBUG    | action_executor:set_session_var:48 - Session var set: USERNAME
2025-12-18 16:35:33 | DEBUG    | action_executor:set_session_var:48 - Session var set: PASSWORD
2025-12-18 16:35:33 | INFO     | __main__:start:83 - ============================================================
2025-12-18 16:35:33 | INFO     | __main__:start:84 - 🤖 AdsPower Agent Starting
2025-12-18 16:35:33 | INFO     | __main__:start:85 - Computer Name: mac2
2025-12-18 16:35:33 | INFO     | __main__:start:86 - Orchestrator: http://192.168.1.4:8000
2025-12-18 16:35:33 | INFO     | __main__:start:87 - ============================================================
2025-12-18 16:35:34 | INFO     | __main__:start:103 - 🔑 Found saved token, validating...
2025-12-18 16:35:34 | WARNING  | __main__:start:110 - ❌ Saved token invalid, re-registering...
2025-12-18 16:35:34 | INFO     | __main__:start:114 - 📝 Registering with orchestrator...
2025-12-18 16:35:34 | INFO     | registration_client:register:32 - 🔍 Detected hardware:
2025-12-18 16:35:34 | INFO     | registration_client:register:33 -   Name: mac2
2025-12-18 16:35:34 | INFO     | registration_client:register:34 -   Hostname: 192.168.1.4
2025-12-18 16:35:34 | INFO     | registration_client:register:35 -   IP: 192.168.1.4
2025-12-18 16:35:34 | INFO     | registration_client:register:36 -   CPU: 12 cores
2025-12-18 16:35:34 | INFO     | registration_client:register:37 -   RAM: 16 GB
2025-12-18 16:35:34 | INFO     | registration_client:register:38 -   AdsPower: http://192.168.1.4:50325
2025-12-18 16:35:34 | DEBUG    | registration_client:_save_token:74 - Token saved to .agent_token
2025-12-18 16:35:34 | DEBUG    | registration_client:_save_registration:80 - Registration data saved to .agent_registration.json
2025-12-18 16:35:34 | INFO     | registration_client:register:57 - ✅ Registered as NEW computer (ID: 1)
2025-12-18 16:35:34 | INFO     | __main__:start:122 - ✅ Computer ID: 1
2025-12-18 16:35:34 | INFO     | __main__:start:125 - Connecting to orchestrator via WebSocket...
2025-12-18 16:35:34 | INFO     | websocket_client:connect:44 - Connecting to: ws://192.168.1.4:8000/api/v1/warming/ws/1?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxIiwidHlwZSI6ImFnZW50IiwiY29tcHV0ZXJfaWQiOjEsImNvbXB1dGVyX25hbWUiOiJtYWMyIiwiaWF0IjoxNzY2MDkzNzM0fQ.27cdASvmva_gqhEdnyiexSvqWwIMUZWcA7ky9jQePp4
2025-12-18 16:35:34 | INFO     | websocket_client:connect:55 - ✅ Connected to orchestrator!
2025-12-18 16:35:34 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: connected
2025-12-18 16:35:34 | INFO     | websocket_client:_handle_message:132 - ✅ Connected to orchestrator
2025-12-18 16:36:04 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:36:04 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:36:04 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:36:34 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:36:34 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:36:34 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:37:04 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:37:04 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:37:04 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:37:34 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:37:34 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:37:34 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:38:04 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:38:04 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:38:04 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:38:34 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:38:34 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:38:34 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:39:04 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:39:04 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:39:04 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:39:34 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:39:34 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:39:34 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:40:04 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:40:04 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:40:04 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:40:34 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:40:34 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:40:34 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:41:04 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:41:04 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:41:04 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:41:34 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:41:34 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:41:34 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:42:04 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:42:04 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:42:04 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:42:34 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:42:34 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:42:34 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
2025-12-18 16:43:04 | DEBUG    | websocket_client:_heartbeat_loop:282 - 💓 Heartbeat
2025-12-18 16:43:04 | DEBUG    | websocket_client:_handle_message:129 - 📨 Received: heartbeat_ack
2025-12-18 16:43:04 | DEBUG    | websocket_client:_handle_message:144 - 💓 Heartbeat OK
